00001,PR1,2010-05-11,48000,IT
00001,PR2,2010-12-01,50000,IT
00003,PR2,2010-05-11,50000,IT
00003,ANYS,2010-12-01,55000,IT
00005,SA1,2010-06-23,36000,BR1
00005,SA2,2011-01-02,38000,BR1
00007,ANYS,2010-05-30,55000,IT
00007,MGR,2011-01-02,60000,IT
00007,VP,2011-03-31,80000,IT
00009,ACCT,2010-05-30,50000,ACT
00009,MGR,2010-12-01,60000,ACT
00011,PRES,2010-06-30,100000,EXC
00013,MGR,2010-06-30,60000,BR1
00013,VP,2011-01-02,80000,BR2
00013,VP,2011-03-01,80000,BR1
00015,SA1,2010-07-05,36000,BR1
00017,SA1,2010-07-05,36000,BR1
00017,SPVR,2011-01-12,40000,BR1
00019,SA1,2010-07-05,36000,BR1
00019,SA2,2011-01-12,38000,BR1
00021,SA1,2010-07-05,36000,BR1
00021,SA2,2011-01-12,38000,BR1
00023,MGR,2010-07-05,60000,HRD
00025,SA1,2010-07-05,36000,BR1
00027,SA1,2010-07-05,36000,BR1
00027,SA2,2011-01-12,38000,BR1
00029,SPVR,2010-07-05,40000,BR1
00029,MGR,2011-01-02,60000,BR1
00031,WMAN,2010-07-05,35000,WHS
00031,WMAN,2011-12-01,40000,WHS
00033,WMAN,2010-07-05,35000,WHS
00035,ACCT,2010-07-21,50000,PAY
00037,CLK1,2010-07-21,34000,PAY
00039,CLK1,2010-07-21,34000,PAY
00039,CLK2,2012-06-30,35000,EXC
00041,SPVR,2010-09-01,40000,WHS
00041,MGR,2011-06-01,60000,WHS
00043,CLK2,2010-09-01,35000,EXC
00043,SPVR,2011-06-01,35000,EXC
00043,SPVR,2011-01-12,35000,HRD
00045,SPVR,2010-12-03,40000,ACT
00047,CLK1,2010-12-03,34000,EXC
00047,CLK2,2011-01-12,35000,HRD
00049,MGR,2010-12-03,60000,BR2
00051,SA1,2011-01-05,36000,BR2
00053,SA1,2011-01-05,36000,BR2
00055,SA1,2011-01-05,36000,BR2
00055,SA2,2011-03-01,38000,BR2
00057,SA1,2011-01-05,36000,BR2
00057,PR1,2011-06-01,48000,BR2
00059,SA1,2011-01-05,36000,BR2
00061,SA1,2011-01-05,36000,BR2
00063,SA2,2011-01-05,38000,BR2
00063,SPVR,2011-06-01,40000,BR2
